instruction,recoil_type,x,y,depth,s1_photons,s2_electrons,t
1,ER,0,0,0,1,0,0
1,ER,0,0,0,2,0,2000
1,ER,0,0,0,3,0,4000
2,ER,0,0,0,4,0,6000
2,ER,0,0,0,5,0,8000
2,ER,0,0,0,6,0,10000
3,ER,0,0,0,7,0,12000
3,ER,0,0,0,8,0,14000
3,ER,0,0,0,9,0,16000
4,ER,0,0,0,10,0,18000
4,ER,0,0,0,20,0,20000
4,ER,0,0,0,30,0,22000
5,ER,0,0,0,40,0,24000
5,ER,0,0,0,50,0,26000
5,ER,0,0,0,60,0,28000
6,ER,0,0,0,70,0,30000
6,ER,0,0,0,80,0,32000
6,ER,0,0,0,90,0,34000
7,ER,0,0,0,100,0,36000
7,ER,0,0,0,150,0,38000
7,ER,0,0,0,200,0,40000
8,ER,0,0,0,250,0,42000
8,ER,0,0,0,300,0,44000
8,ER,0,0,0,350,0,46000
9,ER,0,0,0,400,0,48000
9,ER,0,0,0,450,0,50000
9,ER,0,0,0,500,0,52000
10,ER,0,0,0,600,0,54000
10,ER,0,0,0,700,0,56000
10,ER,0,0,0,800,0,58000
11,ER,0,0,0,900,0,60000
11,ER,0,0,0,1000,0,62000
