instruction,recoil_type,x,y,depth,s1_photons,s2_electrons,t
1,NR,0,0,0,1,0,0
1,NR,0,0,0,2,0,2000
1,NR,0,0,0,3,0,4000
1,NR,0,0,0,4,0,6000
1,NR,0,0,0,5,0,8000
1,NR,0,0,0,6,0,10000
1,NR,0,0,0,7,0,12000
1,NR,0,0,0,8,0,14000
1,NR,0,0,0,9,0,16000
1,NR,0,0,0,10,0,18000
1,NR,0,0,0,20,0,20000
1,NR,0,0,0,30,0,22000
1,NR,0,0,0,40,0,24000
1,NR,0,0,0,50,0,26000
1,NR,0,0,0,60,0,28000
1,NR,0,0,0,70,0,30000
1,NR,0,0,0,80,0,32000
1,NR,0,0,0,90,0,34000
1,NR,0,0,0,100,0,36000
1,NR,0,0,0,150,0,38000
1,NR,0,0,0,200,0,40000
1,NR,0,0,0,250,0,42000
1,NR,0,0,0,300,0,44000
1,NR,0,0,0,350,0,46000
1,NR,0,0,0,400,0,48000
1,NR,0,0,0,450,0,50000
1,NR,0,0,0,500,0,52000
1,NR,0,0,0,600,0,54000
1,NR,0,0,0,700,0,56000
1,NR,0,0,0,800,0,58000
1,NR,0,0,0,900,0,60000
1,NR,0,0,0,1000,0,62000
