instruction,recoil_type,x,y,depth,s1_photons,s2_electrons,t
0,NR,random,random,random,10,0,0
0,NR,random,random,random,20,0,10000
0,NR,random,random,random,30,0,20000
0,NR,random,random,random,40,0,30000
0,NR,random,random,random,50,0,40000
0,NR,random,random,random,100,0,50000
0,NR,random,random,random,200,0,60000
0,NR,random,random,random,300,0,70000
0,NR,random,random,random,400,0,80000
0,NR,random,random,random,500,0,90000
0,NR,random,random,random,1000,0,100000
0,ER,random,random,random,10,0,110000
0,ER,random,random,random,20,0,120000
0,ER,random,random,random,30,0,130000
0,ER,random,random,random,40,0,140000
0,ER,random,random,random,50,0,150000
0,ER,random,random,random,100,0,160000
0,ER,random,random,random,200,0,170000
0,ER,random,random,random,300,0,180000
0,ER,random,random,random,400,0,190000
0,ER,random,random,random,500,0,200000
1,NR,random,random,0,0,1,0
1,NR,random,random,0,0,10,5000
1,NR,random,random,0,0,100,10000
1,NR,random,random,0,0,1000,15000
1,NR,random,random,30,0,10,0
1,NR,random,random,30,0,100,5000
1,NR,random,random,30,0,1000,10000
1,NR,random,random,60,0,10,0
1,NR,random,random,60,0,100,5000
1,NR,random,random,60,0,1000,10000
1,NR,random,random,90,0,10,0
1,NR,random,random,90,0,100,5000
1,NR,random,random,90,0,1000,10000
2,NR,random,random,random,10,0,400000
